Date,Close
2/14/2020,11.01
2/18/2020,11.21
2/19/2020,11.3
2/20/2020,11.36
2/21/2020,11.41
2/24/2020,11.22
2/25/2020,11.02
2/26/2020,11
2/27/2020,10.62
2/28/2020,10.07
3/2/2020,10.36
3/3/2020,10.21
3/4/2020,10.47
3/5/2020,10.13
3/6/2020,9.78
3/9/2020,9.08
3/10/2020,9.19
3/11/2020,8.9
3/12/2020,8.05
3/13/2020,8.38
3/16/2020,7.37
3/17/2020,7.87
3/18/2020,7.35
3/19/2020,7.13
3/20/2020,6.94
3/23/2020,7.12
3/24/2020,7.74
3/25/2020,8.19
3/26/2020,9.1
3/27/2020,8.51
3/30/2020,8.49
3/31/2020,8.21
4/1/2020,7.78
4/2/2020,7.91
4/3/2020,7.56
4/6/2020,8.25
4/7/2020,8.38
4/8/2020,8.48
4/9/2020,8.52
4/13/2020,8.5
4/14/2020,8.67
4/15/2020,8.33
4/16/2020,8.22
4/17/2020,8.58
4/20/2020,8.51
4/21/2020,8.25
4/22/2020,8.55
4/23/2020,8.79
4/24/2020,8.76
4/27/2020,8.93
4/28/2020,8.79
4/29/2020,9.49
4/30/2020,9.23
5/1/2020,9.06
5/4/2020,8.93
5/5/2020,8.91
5/6/2020,8.86
5/7/2020,9.04
5/8/2020,9.17
5/11/2020,9
5/12/2020,9.15
5/13/2020,8.55
5/14/2020,8.68
5/15/2020,8.7
5/18/2020,8.96
5/19/2020,8.79
5/20/2020,9
5/21/2020,8.93
5/22/2020,9.05
5/26/2020,9.07
5/27/2020,9.35
5/28/2020,9.19
5/29/2020,9.1
6/1/2020,9.26
6/2/2020,9.38
6/3/2020,9.27
6/4/2020,9.27
6/5/2020,9.38
6/8/2020,9.56
6/9/2020,9.33
6/10/2020,9.3
6/11/2020,8.86
6/12/2020,9.11
6/15/2020,9.22
6/16/2020,9.12
6/17/2020,9.33
6/18/2020,9.22
6/19/2020,9.16
6/22/2020,9.15
6/23/2020,9.42
6/24/2020,9.07
6/25/2020,9.29
6/26/2020,9.53
6/29/2020,9.57
6/30/2020,9.66
7/1/2020,9.68
7/2/2020,9.92
7/6/2020,10.11
7/7/2020,10.24
7/8/2020,10.34
7/9/2020,10.23
7/10/2020,10.39
7/13/2020,10.47
7/14/2020,10.59
7/15/2020,11.91
7/16/2020,12.23
7/17/2020,12.27
7/20/2020,12.58
7/21/2020,12.49
7/22/2020,12.3
7/23/2020,12.24
7/24/2020,12.33
7/27/2020,12.67
7/28/2020,12.58
7/29/2020,12.85
7/30/2020,12.95
7/31/2020,12.85
8/3/2020,12.92
8/4/2020,12.64
8/5/2020,12.65
8/6/2020,12.83
8/7/2020,12.6
8/10/2020,12.59
8/11/2020,12.63
8/12/2020,12.76
8/13/2020,12.78
8/14/2020,12.72
8/17/2020,12.87
8/18/2020,12.98
8/19/2020,12.8
8/20/2020,12.82
8/21/2020,12.6
8/24/2020,12.79
8/25/2020,12.81
8/26/2020,12.88
8/27/2020,12.78
8/28/2020,12.81
8/31/2020,12.6
9/1/2020,12.67
9/2/2020,12.73
9/3/2020,12.47
9/4/2020,12.44
9/8/2020,12.67
9/9/2020,12.75
9/10/2020,12.6
9/11/2020,12.76
9/14/2020,13.24
9/15/2020,13.34
9/16/2020,13.56
9/17/2020,13.67
9/18/2020,13.5
9/21/2020,13.61
9/22/2020,13.84
9/23/2020,13.59
9/24/2020,13.05
9/25/2020,13.57
9/28/2020,13.63
9/29/2020,13.56
9/30/2020,13.81
10/1/2020,13.76
10/2/2020,13.67
10/5/2020,14.05
10/6/2020,13.89
10/7/2020,14.54
10/8/2020,14.8
10/9/2020,15.2
10/12/2020,15.55
10/13/2020,15.72
10/14/2020,16.360001
10/15/2020,15.26
10/16/2020,15.51
10/19/2020,15.14
10/20/2020,15.37
10/21/2020,15.34
10/22/2020,15.35
10/23/2020,15.22
10/26/2020,14.92
10/27/2020,14.85
10/28/2020,14.38
10/29/2020,14.28
10/30/2020,14.27
11/2/2020,14.25
11/3/2020,14.3
11/4/2020,14.68
11/5/2020,15.01
11/6/2020,14.93
11/9/2020,14.83
11/10/2020,14.54
11/11/2020,15.09
11/12/2020,14.95
11/13/2020,15.29
11/16/2020,15.46
11/17/2020,15.28
11/18/2020,14.99
11/19/2020,14.83
11/20/2020,14.91
11/23/2020,15.38
11/24/2020,15.53
11/25/2020,15.1
